EstC;Ndep;Renda;TipoR;Vbem;Nparc;Vparc;Nveic;CC;Tel; Idade ;TmpTrab;Entrada;Classe
1;0;811;0;699;6;143;0;0;0;36;48;750;1
1;0;500;0;392;3;146;0;0;0;36;48;600;1
1;0;500;0;346;3;129;0;0;0;36;48;450;1
1;0;354;0;482;10;73;0;0;0;32;0;576;1
0;0;801;0;945;16;113;0;0;1;32;0;1032;1
1;0;631;0;343;10;52;0;0;1;64;396;567;1
3;0;800;0;989;10;150;0;0;1;61;360;990;1
0;0;383;0;470;9;77;0;0;0;38;456;0;1
0;0;300;0;519;10;79;0;0;0;35;420;0;1
0;0;355;0;389;10;54;0;0;1;35;420;50;1
0;0;795;0;327;3;89;0;0;1;35;420;89;1
1;0;600;0;800;10;116;0;0;0;33;396;50;1
0;0;567;0;355;6;79;0;0;1;31;372;0;1
0;0;500;0;445;6;99;0;0;1;30;360;0;1
1;0;450;0;959;10;100;0;0;1;28;336;300;1
1;0;320;0;309;6;58;0;0;1;28;336;50;1
1;0;520;0;680;9;87;0;0;0;25;300;150;1
1;0;500;0;409;3;112;0;0;1;25;300;112;1
1;0;600;0;545;11;69;0;0;0;24;288;69;1
1;0;426;0;469;6;106;0;0;0;23;276;0;1
1;0;400;0;696;12;99;0;0;1;21;252;0;1
3;2;336;0;661;20;75;0;0;0;61;240;0;0
0;0;400;0;437;12;60;0;0;0;61;240;0;0
0;0;650;0;770;12;105;0;0;1;61;360;0;0
1;0;500;0;437;12;60;0;0;0;60;48;0;0
0;0;795;0;334;5;68;0;0;0;59;0;0;0
0;0;387;0;407;5;68;0;0;0;70;0;68;1
3;2;600;0;438;4;129;0;0;0;70;0;0;1
0;0;740;0;358;3;120;0;0;0;70;0;0;1
0;0;846;0;760;2;255;0;0;0;69;0;255;1
0;0;549;0;356;3;133;0;0;0;69;0;0;1
0;0;360;0;566;15;70;0;0;0;70;24;0;1
0;0;310;0;314;9;51;0;0;0;68;0;0;1
0;0;550;0;521;5;87;0;0;0;68;0;87;1
0;0;800;0;719;2;242;0;0;0;68;0;242;1
0;0;3639;0;1901;2;636;0;0;0;68;0;636;1
0;0;1010;0;379;4;114;0;0;0;68;0;0;1
0;0;550;0;399;9;57;0;0;0;68;6;50;1
0;0;1103;0;426;10;65;0;0;0;68;6;0;1
0;0;475;0;644;7;106;0;0;1;69;24;100;1
1;0;500;0;610;9;93;0;0;0;67;0;50;1
0;0;450;0;326;2;115;0;0;0;67;0;115;1
0;0;2500;0;875;2;250;0;0;0;67;0;380;1
0;0;1003;0;329;2;110;0;0;0;67;0;110;1
3;0;2764;0;476;1;245;0;0;0;67;0;245;1
0;0;622;0;698;6;145;0;0;0;70;48;0;1
1;0;500;0;552;4;119;0;0;0;70;48;119;1
1;0;661;0;718;4;130;0;0;0;70;48;203;1
0;0;724;0;739;6;153;0;0;0;70;48;0;1
1;0;415;0;384;3;96;0;0;0;70;48;96;1
2;0;587;0;509;9;77;0;0;0;70;48;0;1
0;0;949;0;749;3;281;0;0;0;70;48;0;1
0;0;703;0;552;4;119;0;0;0;70;48;119;1
0;0;3302;0;1629;6;279;0;0;0;70;48;279;1
3;0;1828;0;494;3;187;0;0;0;70;48;0;1
1;0;1566;0;339;6;73;0;0;0;70;48;0;1
0;0;3300;0;699;6;143;0;0;0;70;48;0;1
0;0;3646;0;699;4;160;0;0;0;70;48;160;1
0;0;9379;0;787;3;298;0;0;0;70;48;0;1
1;0;9000;0;500;3;186;0;0;0;70;48;0;1
0;0;9379;0;449;3;170;0;0;0;70;48;0;1
0;0;488;0;671;9;75;0;0;0;66;0;0;1
0;0;1019;0;855;5;172;0;0;0;66;0;0;1
0;0;1150;0;431;3;86;0;0;0;66;0;200;1
0;0;820;0;989;6;205;0;0;0;69;48;0;1
0;0;579;0;552;4;119;0;0;0;69;48;119;1
