"atividadeescolar";"atividadelazer";"atividadeoutra";"atividadegrupo";"atividadesconcluidas";"dificuldadeutilizacao";"tiposoftware";"localutilizacao";"tipoatividade";"disciplina"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Apresentação Cultural (Teatro, Dança, etc)";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Apresentação Cultural (Teatro, Dança, etc)";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Apresentação Cultural (Teatro, Dança, etc)";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Apresentação Cultural (Teatro, Dança, etc)";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Apresentação Cultural (Teatro, Dança, etc)";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Apresentação Cultural (Teatro, Dança, etc)";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Apresentação Cultural (Teatro, Dança, etc)";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Apresentação Cultural (Teatro, Dança, etc)";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Aula Passeio";"Educação Física"
