PELO	PENAS	OVOS	LEITE	VOA	AQUATICO	PREDADOR	DENTES	ESPINHA	RESPIRA	VENENOSO	GARRAS	PERNAS	CAUDA	DOMESTICO	TAMANHO_GATO	TIPO
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Não	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Não	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Sim	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Não	Sim	Não	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	0	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	2	Sim	Não	Não	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	2	Não	Sim	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Sim	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	2	Não	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Sim	Não	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Não	Não	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Não	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Não	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Sim	Sim	1
Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	0	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Sim	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Sim	Sim	1
Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	0	Não	Não	Sim	1
Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	2	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	2	Sim	Não	Não	1
Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	2	Sim	Não	Não	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	4	Sim	Não	Não	1
Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	2	Sim	Não	Sim	1
Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	4	Sim	Não	Sim	1
Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Sim	Não	2
Não	Sim	Sim	Não	Sim	Não	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Sim	Não	2
Não	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	2	Sim	Não	Sim	2
Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	2	Sim	Não	Não	2
